鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
南港區,房地(土地+建物),臺北市南港區經貿一路160號旁,10.98,住,,,2023-01-06,土地34建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,62.15,2,2,1,有,無,22600000,363636,,0.0,0,,RPPNMLQJJHIGFDA27DB,全陽馥,A2-20F號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,44.18,住,,,2023-01-03,土地2建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,238.88,0,0,0,無,無,68860000,326223,坡道平面,37.3,3100000,,RPTNMLRJJHIGFEA87DB,樸園璞開石,4F-A1號,
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,43.38,住,,,2023-01-03,土地2建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,236.66,0,0,0,無,無,68190000,326495,坡道平面,37.3,3100000,,RPPNMLSJJHIGFEA57DB,樸園璞開石,4F-A3號,
文山區,房地(土地+建物),臺北市文山區保儀路,7.88,商,,,2023-01-08,土地1建物1車位0,十層,21,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,80.41,2,1,1,有,無,15570000,193633,,0.0,0,,RPPNMLTJJHIGFAA27DB,天賞大願,C4棟10F號,
北投區,房地(土地+建物)+車位,臺北市北投區清江里中央南路一段81號,15.34,商,,,2023-01-08,土地36建物1車位1,十九層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,196.85,4,2,2,有,無,41000000,227139,坡道平面,26.47,2300000,交易總價含下列非屬預售屋價格之費用:毛胚屋；,RPQNMLTJJHIGFEA67CB,富域,A棟A2-19F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路一段156巷21號,28.73,住,,,2023-01-04,土地3建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.17,3,2,2,有,無,34500000,224343,坡道平面,34.76,3000000,,RPSNMLTJJHIGFCA67CB,岳泰峰山,C-4F號,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷18弄12號,13.45,住,,,2023-01-08,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.0,2,1,2,有,無,24980000,219439,坡道平面,34.19,2200000,雨遮計坪不計價,RPPNMLKKJHIGFCA66DB,家騰真,A3-3F號,
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段609號,25.37,商,,,2023-01-06,土地22建物1車位2,十五層,21,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,280.25,0,0,0,無,無,87500000,396355,坡道平面,76.14,6600000,,RPSNMLLKJHIGFEA27DB,築觀,A1-15F號,
中正區,房地(土地+建物)+車位,臺北市中正區金山南路一段53巷1號旁,33.67,住,,,2023-01-07,土地4建物1車位2,八層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,347.4,0,0,0,無,無,142280000,492323,坡道平面,73.84,7600000,,RPQNMLLKJHIGFBA76DB,富邦醴仁,8F-A1號,
中正區,房地(土地+建物),臺北市中正區廈門街１４９號旁,8.62,商,,,2023-01-07,土地11建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.99,2,2,2,有,無,22380000,257271,,0.0,0,,RPQNMLLKJHIGFAA56CB,華和淳萃,C-6F號,
